Unnamed: 0,번호,제목,저자,출판사,출판일
,37,빅 데이터(Big Data) 시대의 소비자보호 문제 -소비자 개인정보의 범위와 정보주체 동의를 중심으로- = A Study on Consumer Protection Issue in the era of Big Data -Focusing on the Scope of Consumers` Personal Information and Consent of Primary Information Provider-,최은진 ( Eun Jin Choi ),연세대학교 법학연구원 글로벌비즈니스와 법센터,2015
,38,클라우드 환경에서 IoT 데이터 기반 빅데이터 서비스를 위한 Big Data-as-a-Service 모델 = Big Data-as-a-Service Model for IoT Data-based Big Data Service in Cloud Environment,김용현(Yong-Hyun Kim),한국정보과학회,2015
,39,Big Data의 통계기법을 이용한 기업고용 성장요인 분석 = An Analysis of Employment Growth Using Big Data,윤종인,충남대학교 경영경제연구소,2020
,40,Big Data-driven Tourist Flow focasting with Interpretable Machine Learning = Big Data-driven Tourist Flow focasting with Interpretable Machine Learning,( Xinli ),한국문화관광학회,2024
,41,대기오염에 따른 환경성 질환의 인자분석: Big Data를 통한 Google 트렌드 데이터의 분석 및 영향 = Factor analysis of Environmental Disease by Air Pollution: Analysis and Implication of Google Trends Data with Big Data,최길용,한국환경보건학회,2018
,42,"""Does Big Data Matter to Value Creation?"" : 오라클(Oracle) 솔루션 사례를 바탕으로 = &quot;Does Big Data Matter to Value Creation?&quot;-Based on Oracle Solution Case",유응준,한국IT서비스학회,2012
,43,Inter-category Map: Building Cognition Network of General Customers through Big Data Mining = Inter-category Map: Building Cognition Network of General Customers through Big Data Mining,( Gil-young Song ),한국인터넷정보학회,2014
,44,"Smart Factory Big Data를 활용한 공정 이상 탐지 프로세스 적용 사례 연구 = A case study on the application of process abnormal detection process using big data in smart factory, A case study on the application of process abnormal detection process using big data in smart factory",남현우,한국통계학회,2021
,45,The Countermeasure Strategy Based on Big Data against North Korean Cyber-attacks = The Countermeasure Strategy Based on Big Data against North Korean Cyber-attacks,( Yong-joon Lee ),한국국방연구원,2018
,46,"Prevalence, incidence and birth rate of endometriosis in Korea using big data = Prevalence, incidence and birth rate of endometriosis in Korea using big data",( Oyoung Kim ),대한산부인과학회,2019
,47,Big Data를 활용한 송 · 배전 선로 고장 진단 표준화에 관한 연구 = A Study on Standardization of Fault Diagnosis of Transmission and Distribution Line using Big Data,김성철(Sung-Cheol Kim),대한전기학회,2019
,48,Big Data중 비정형Data인 소셜미디어가 기업의 매출액에 미치는 효과 = The Effect of Social Media Related to Informal Data of Big Data on Sales,박성욱,한국회계정보학회,2017
,49,Big Data의 Deep Learning과 연기 법칙의 상관성 = Correlationship of Deep Learning in Big Data and pratityasamutpada,김성규,사단법인한국교수불자연합회,2020
,50,시계열 Big Data에 기반한 핵심영향인자 추출을 위한 변동재화 가치 분석 Modeling = Analysis Modeling of Variable Goods Value to extract Key Influencers based on Time series Big Data,김권웅,한국인터넷방송통신학회,2023
,51,모바일게임에 적용 가능한 비정형 Big Data 처리를 위한 Incremental MapReduce = Incremental MapReduce of atypical Big Data Processing in Mobile Game,박성준 ( Sung-joon Park ),한국정보처리학회,2014
,52,Korea Acute Myocardial Infarction Registry Big Data를 이용한 원내사망 예측요인 분석 = Factors Prediction of Death in Hospital Using Korea Acute Myocardial Infarction Registry Big Data,김주한 ( Ju Han Kim ),한국품질경영학회,2018
,53,4차 산업혁명 속에서의 한문 수업 -Big data 한문 자료에서 자신의 가치관을 담은 문장 찾기- = Chinese Characters Class in the 4th Industrial Revolution -Finding sentences that contain one&apos;s own values ​​in big data Chinese characters-,김동규,한국한문교육학회,2022
,54,"4차 산업혁명 시대의 중소기업 규제개혁: IoT, Cloud, Big Data을 중심으로 = Deregulation Policy of SMEs of the Fourth Industrial Revolution: Focusing on the IoT, Cloud, Big data",이웅배,한국유통경영학회,2019
,55,패키징(Packaging) 분야에서의 빅데이터(Big data) 적용방안 연구 = Study on Application of Big Data in Packaging,강욱건,한국포장학회,2017
,56,빅데이터(Big Data) 환경과 프라이버시의 보호 = A Study on Big Data Circumstance and Privacy Protection,차상육,경북대학교 IT와 법연구소,2014
,57,소셜 커뮤니케이션에 기반한 빅데이터의 시각화(Big Data Visualization) 전략에 관한 연구 :빅데이터 시각화 유형에 따른 사용자 경험(UX)을 중심으로 = A Study on Big Data Visualization Strategy Based on Social Communication :Focusing on User Experience (UX) based on Big Data Visualization Types,추진기,한국콘텐츠학회,2020
,58,정보화시대의 빅 데이터(Big Data) 활용에 대한 윤리적 논쟁과 전망 = Ethical Arguments and Prospects of Utilizing Big Data in Information Age,송선영,한국윤리학회,2016
,59,정보화시대의 빅 데이터(Big Data) 활용에 대한 윤리적 논쟁과 전망 = Ethical Arguments and Prospects of Utilizing Big Data in Information Age,"송선영 ( Sun Young Song ) , 김항인 ( Hang In Kim )",한국윤리학회,2016
,60,빅데이터(Big Data)와 인식적 상황주의(Epistemic Situationism)의 도전에 대한 고찰 = A Study on the Challenges of Big Data and Epistemological Situationism,한곽희,대한철학회,2024
,61,빅데이터(Big Data)와 정보인권에 관한 최근 독일의 논의와 시사 = Big Data und Menschenrecht auf Information in Deutschland,"김중길(Kim, Jung-Gil)",조선대학교 법학연구원,2014
,62,빅데이터(Big Data) 및 인공지능(Artificial Intelligence) 기술 부상과 보험법의 과제 = The Rise of Big Data and Artificial Intelligence Technologies and Challenges to Insurance Law,이성남,한국금융법학회,2024
,63,한국 고전문학 연구와 빅데이터(Big data)의 활용 = Application of Big Data in Korea Classics Literature,정규식,영남대학교 인문과학연구소,2015
,64,A Security-Enhanced Identity-Based Batch Provable Data Possession Scheme for Big Data Storage = A Security-Enhanced Identity-Based Batch Provable Data Possession Scheme for Big Data Storage,( Jining Zhao ),한국인터넷정보학회,2018
,65,BDBA(Big Data Business Analytics) 시스템과 SCM 관계에 관한 연구 = A Study on Relationship of BDBA(Big Data Business Analytics) System and Supply Chain Management,김성호,한국무역통상학회,2019
,66,Business Intelligence를 지원하기 위한 Big Data 기반 Data Lake 플랫폼의 선행 연구 = A Leading Study of Data Lake Platform based on Big Data to support Business Intelligence,"이상범(Lee,Sang-Beom)",한국컴퓨터정보학회,2018
,67,A Classification Algorithm Based on Data Clustering and Data Reduction for Intrusion Detection System over Big Data = A Classification Algorithm Based on Data Clustering and Data Reduction for Intrusion Detection System over Big Data,( Qiuhua Wang ),한국인터넷정보학회,2019
,68,Big Data Research on Severe Asthma = Big Data Research on Severe Asthma,( Sang Hyuk Kim ),대한결핵 및 호흡기학회,2024
,69,Big Data Analysis and Prediction of Traffic in Los Angeles = Big Data Analysis and Prediction of Traffic in Los Angeles,( Dalyapraz Dauletbak ),한국인터넷정보학회,2020
,70,Big Data 분석을 통한 한국사회의 도덕·윤리 용어 사용 특성 연구 = A Study on the Characteristics of the Use of Moral and Ethical Terms in Korean Society through Big Data Analysis,김봉제,한국도덕윤리과교육학회,2018
,71,빅데이터(Big Data) 시대의 소셜 네트워크 분석 (Social Network Analysis) 기법과 스포츠 분야의 활용전략 = Big Data era of social network analysis techniques and the use of the sports field strategy,"박성제(Park, Sung-Je)",한국체육과학회,2014
,72,스마트폰 CMF 디자인 개발에서 빅데이터(big data) 분석기술 활용방안 연구 = A Study on the Application Methods of Big Data in CMF Design Process of Smart Phone,오인균,한국디지털디자인학회,2014
,73,디자인분야에서의 빅데이터(Big Data) 활용방안에 관한 연구 = A Study on the Application Methods of Big Data in the Design Field,오인균,한국디지털디자인학회,2013
,74,Leveraging Big Data for Spark Deep Learning to Predict Rating = Leveraging Big Data for Spark Deep Learning to Predict Rating,( Monika Mishra ),한국인터넷정보학회,2020
,75,Integration of Cloud and Big Data Analytics for Future Smart Cities = Integration of Cloud and Big Data Analytics for Future Smart Cities,( Jungho Kang ),한국정보처리학회,2019
,76,Research on the Construction of Economic and Financial Management System under the Concept of Big Data = Research on the Construction of Economic and Financial Management System under the Concept of Big Data,( Zhu Delong ),인문사회과학예술융합학회,2020
,77,Why Big Data Often Fails Analysis on why ticket data of London Olympic Games has not utilised = Why Big Data Often Fails Analysis on why ticket data of London Olympic Games has not utilised,( Hiroko Kudo ),한국행정학회,2017
,78,Research and Application on Big Data of Geohazards = Research and Application on Big Data of Geohazards,( Nengpan Ju ),대한지질공학회,2019
,79,A Study on Implementation and Development of Big Data on O2O Model in China Catering Industry = A Study on Implementation and Development of Big Data on O2O Model in China Catering Industry,( Chyi Wang ),한국문화관광학회,2015
,80,A cache placement algorithm based on comprehensive utility in big data multi-access edge computing = A cache placement algorithm based on comprehensive utility in big data multi-access edge computing,( Yanpei Liu ),한국인터넷정보학회,2021
,81,The Analysis of a Diet for the Human Being and the Companion Animal using Big Data in 2016 = The Analysis of a Diet for the Human Being and the Companion Animal using Big Data in 2016,( Eun-jin Jung ),한국임상영양학회,2017
,82,Big Data Based Dynamic Flow Aggregation over 5G Network Slicing = Big Data Based Dynamic Flow Aggregation over 5G Network Slicing,( Guolin Sun ),한국인터넷정보학회,2017
,83,Big Data Analysis of Noise Problems through Floors based on Social Media Channels = Big Data Analysis of Noise Problems through Floors based on Social Media Channels,( Jin Young Kim ),한국감성과학회,2021
,84,Big Data Analysis of Noise Problems through Floors based on Social Media Channels = Big Data Analysis of Noise Problems through Floors based on Social Media Channels,( Jin Young Kim ),한국감성과학회,2021
,85,Designing a Crime-Prevention System by Converging Big Data and IoT = Designing a Crime-Prevention System by Converging Big Data and IoT,( Jin-ho Jeon ),한국인터넷정보학회,2016
,86,Deep Learning-based Evolutionary Recommendation Model for Heterogeneous Big Data Integration = Deep Learning-based Evolutionary Recommendation Model for Heterogeneous Big Data Integration,( Hyun Yoo ),한국인터넷정보학회,2020
,87,Research Trend Analysis for Sustainable QR code use - Focus on Big Data Analysis = Research Trend Analysis for Sustainable QR code use - Focus on Big Data Analysis,( Eunji Lee ),한국인터넷정보학회,2021
,88,법률적 관점에서 고찰한 빅데이터(Big Data)의 활용가치 극대화를 위한 비교분석 연구 = A Comparative Analysis on Maximizing the Value of Big Data,허주현(JooHyeon Heo),미래학회,2018
,89,A Study on the Utilization of Social Big Data for ICT Policy in Education = A Study on the Utilization of Social Big Data for ICT Policy in Education,( Jin Myeong Chung ),한국교육공학회,2016
,90,빅 데이터(Big Data) 시대 개정 개인정보 보호법에 관한 법적 고찰 = Legal Considerations on the Personal Information Protection Act Revised in the Age of Big Data,이부하,경북대학교 IT와 법연구소,2020
,91,Big Data analysis of cultural relationship: Focusing on Korea-China cultural exchange from the governance perspective = Big Data analysis of cultural relationship: Focusing on Korea-China cultural exchange from the governance perspective,( Sang Do Park ),한국행정학회,2017
,92,빅데이터(Big data) 기술 적용 시스템 감리 점검방안 = A Study on Auditing Method of Big Data Technology Applied System,김종배,한국IT정책경영학회,2019
,93,"Advanced Big Data Analysis, Artificial Intelligence & Communication Systems = Advanced Big Data Analysis, Artificial Intelligence &amp; Communication Systems",( Young-sik Jeong ),한국정보처리학회,2019
,94,Google Trends를 활용한 태권도관련 빅데이터(Big Data) 분석 = Analysis of Big Data related in Taekwondo through Google Trends,이재돈,세계태권도문화학회,2013
,95,보안에 의거한 데이터(BIG DATA)의 효과적인 이용방법 = Effective use of the method of data (BIG DATA) based on the security,고영범(Young-Beom Ko),한국IT서비스학회,2015
,96,Applying a sensor energy supply communication scheme to big data opportunistic networks = Applying a sensor energy supply communication scheme to big data opportunistic networks,( Zhigang Chen ),한국인터넷정보학회,2016
,97,Identifying the Effect of Product Types in the Relationships Between Product Discounts and Consumer Distrust levels in China’s Online Social Commerce Market at the Era of Big Data = Identifying the Effect of Product Types in the Relationships Between Product Discounts and Consumer Distrust levels in China’s Online Social Commerce Market at the Era of Big Data,( Lin Li ),한국인터넷정보학회,2018
,98,Informatics in emergency medicine -Big Data & Emergency Medicine : Big Data Global Trends = Informatics in emergency medicine -Big Data &amp; Emergency Medicine : Big Data Global Trends,김홍기,대한응급의학회,2013
,99,Modulation of senoinflammation by calorie restriction based on biochemical and Omics big data analysis = Modulation of senoinflammation by calorie restriction based on biochemical and Omics big data analysis,( Eunjin Bang ),생화학분자생물학회,2019
,100,Developing an Intrusion Detection Framework for High-Speed Big Data Networks: A Comprehensive Approach = Developing an Intrusion Detection Framework for High-Speed Big Data Networks: A Comprehensive Approach,( Kamran Siddique ),한국인터넷정보학회,2018
,1,Spatial Characteristics and Driving Forces of Cultivated Land Changes by Coupling Spatial Autocorrelation Model and Spatial-temporal Big Data = Spatial Characteristics and Driving Forces of Cultivated Land Changes by Coupling Spatial Autocorrelation Model and Spatial-temporal Big Data,( Wang Hua ),한국인터넷정보학회,2021
,2,The presence of hypertension during pregnancy determines future risk of metabolic syndrome : Big data analysis of a customized database created using an NHIS registry = The presence of hypertension during pregnancy determines future risk of metabolic syndrome : Big data analysis of a customized database created using an NHIS registry,( Da-hye Ju ),대한산부인과학회,2019
,3,Big Data 분석시스템의 Framework 적용 및 활용 방안 = Framework application and utilization in Big data analysis system,"정경주(Chung,KyungJoo)",한국IT서비스학회,2014
,4,Big Data Study in Emergency Medicine = Big Data Study in Emergency Medicine,서동우,대한응급의학회,2019
,5,Big data classification with decision tree = Big data classification with decision tree,박명화,한국간호과학회,2014
,6,Gender difference affects physiological markers more than age or different exercise modalities in patients with anterior cruciate ligament injuries: big data analysis from the National Health Insurance Sharing Service = Gender difference affects physiological markers more than age or different exercise modalities in patients with anterior cruciate ligament injuries: big data analysis from the National Health Insurance Sharing Service,( Hyunseok Jee ),대한운동사협회,2017
,7,R 언어를 이용한 태양광발전 연계 변전소의 Big Data 분석 = Big Data Analysis of PV Generation Connected Substation using R Language,홍재영(J.Y. Hong),한국조명·전기설비학회,2018
,8,Development of chemical products using Big Data Analytics = Development of chemical products using Big Data Analytics,유준,한국공업화학회,2019
,9,Big Data 관점에서의 수자원데이터 활용방안 연구 = The Study on utilization of water resources data from the point of view of Big Data,이동희(Dong-Hee Lee),대한전기학회,2013
,10,Big data and pain = Big data and pain,( Jeong Gill Leem ),대한통증학회,2016
,11,A Study on Changes in Korean Image of Foreign Tourists Using Big Data - Post COVID-19 - = A Study on Changes in Korean Image of Foreign Tourists Using Big Data - Post COVID-19 -,"Yoo, Kyoung-Mi",The Institute of Internet,2021
,12,Big Data 분석 방법론을 이용한 건물 유지보수 예측 모형 기본 방안 개발 = Framework on a Prediction Model for Building Repair &amp; Maintenance Using Big Data Analytic Approach,이은지 ( Eun Ji Lee ),한국건축시공학회,2013
,13,R 언어를 이용한 신재생에너지원 연계 변전소의 Big Data 분석 = Big Data Analysis of Renewable Energy Source Connected Substation using R Language,홍재영(J.Y. Hong),대한전기학회,2018
,14,AI와 Big Data 처리기술이 바꿀 물산업의 미래 = Future of Water Industry Created by AI and Big Data Processing,김두일 ( Dooil Kim ),한국물환경학회,2021
,15,Does Big Data Matter?: Predicting Stock Returns using Online Stock Message Boards = Does Big Data Matter?: Predicting Stock Returns using Online Stock Message Boards,( Kim Jae Hoon ),서강대학교 지암남덕우경제연구원,2019
,16,Causality between climatic and soil factors on Italian ryegrass yield in paddy field via climate and soil big data = Causality between climatic and soil factors on Italian ryegrass yield in paddy field via climate and soil big data,( Moonju Kim ),한국축산학회,2019
,17,Scenic Image Research Based on Big Data Analysis - Take China's Four Ancient Cities as an Example = Scenic Image Research Based on Big Data Analysis - Take China&apos;s Four Ancient Cities as an Example,( Rui Liang ),한국인터넷정보학회,2020
,18,Development of an Ontology for Low Fertility for Social Big Data Analysis = Development of an Ontology for Low Fertility for Social Big Data Analysis,( Ji-hyun Lee ),한국간호과학회,2015
,19,Let's start health care big data analyses = Let&apos;s start health care big data analyses,배정민 ( Jung Min Bae ),대한피부과학회,2022
,20,Informatics in emergency medicine -Big Data & Emergency Medicine : Development of web query based syndromic surveillance system for detection of outbreak in South Korea = Informatics in emergency medicine -Big Data &amp; Emergency Medicine : Development of web query based syndromic surveillance system for detection of outbreak in South Korea,서동우,대한응급의학회,2013
,21,SmartX-mini Center 를 통한 NUC 클러스터의 Big Data 처리 가능성 검중 = Feasibility Verification of Big Data Processing employing SmartXmini Center with NUC Cluster,송지원 ( Jiwon Song ),한국정보처리학회,2015
,22,Getting started with healthcare big data analysis now = Getting started with healthcare big data analysis now,배정민 ( Jung Min Bae ),대한피부과학회,2018
,23,Lessons from healthcare big data analyses for vitiligo = Lessons from healthcare big data analyses for vitiligo,( Jung Min Bae ),대한피부과학회,2021
,24,SSD 를 이용한 Big Data 처리 환경의 성능 개선에 대한 연구 = A study on performance enhancement of Big Data processing with SSD(Solid State Drive),이상현(S. H. Lee),한국정밀공학회,2013
,25,An Analysis of Social Big Data Trends in Health and Welfare in 2015 = An Analysis of Social Big Data Trends in Health and Welfare in 2015,( Song Taemin ),한국보건사회연구원,2016
,26,Personal & Private Bio Big Data = Personal &amp; Private Bio Big Data,김주한 ( Ju Han Kim ),대한간학회,2016
,27,Lessons from healthcare big data analyses for vitiligo = Lessons from healthcare big data analyses for vitiligo,( Jung Min Bae ),대한피부과학회,2021
,28,"Bruno J. Strasser, Collecting Experiments: Making Big Data Biology. Chicago: University of Chicago Press, 2019. xv + 404 pp. = Bruno J. Strasser, Collecting Experiments: Making Big Data Biology. Chicago: University of Chicago Press, 2019. xv + 404 pp.",최석현,한국과학사학회,2021
,29,"김정은의 신외교와 독재자의 딜레마(Dictator's Dilemma), 그리고 빅데이터 역설(Big Data Paradox) = Kim Jong Un&apos;s Summit Diplomacy: Dictator&apos;s Dilemma and Big Data Paradox",김용호,경남대학교 극동문제연구소,2018
,30,Research on Satisfaction Evaluation Based on Tourist Big Data = Research on Satisfaction Evaluation Based on Tourist Big Data,( Hanwen Guo ),한국인터넷정보학회,2022
,31,Developing an International Macroeconomic Forecasting Model Based on Big Data = Developing an International Macroeconomic Forecasting Model Based on Big Data,( Sang-ha Yoon ),대외경제정책연구원,2024
,32,Forecasting of Low Fertility Policies Based on Social Big Data = Forecasting of Low Fertility Policies Based on Social Big Data,( Song Taemin ),한국보건사회연구원,2016
,33,54. A Study of the Social Perceptions of Child Care using Big Data = 54. A Study of the Social Perceptions of Child Care using Big Data,( Yeonseung Lee ),한국유아교육학회,2019
,34,Poster Session : The Future Utility of Sports Public Big Data and the Plan for Its Further Development = Poster Session : The Future Utility of Sports Public Big Data and the Plan for Its Further Development,( Sung Je Park ),한국체육학회,2013
,35,The Analysis of Public Opinion on Diplomacy and Security through Big Data and Its Implications = The Analysis of Public Opinion on Diplomacy and Security through Big Data and Its Implications,( Min Jeong-hun ),국립외교원 외교안보연구소,2019
,36,News Media Coverage of Carbon Neutrality in Korea and China: A Big Data Analysis = News Media Coverage of Carbon Neutrality in Korea and China: A Big Data Analysis,( Yifan Wang ),한국인터넷정보학회,2024
,37,Assessment of the Status of Industrial Waste Treatment in Korea by Big Data Analysis of Electronic Waste Manifest System = Assessment of the Status of Industrial Waste Treatment in Korea by Big Data Analysis of Electronic Waste Manifest System,( Gil-jong Oh ),한국폐기물자원순환학회,2019
,38,Study of relationship between metabolic syndrome and psoriasis using genetic big data = Study of relationship between metabolic syndrome and psoriasis using genetic big data,( Ki-heon Jeong ),대한피부과학회,2019
,39,23. Keyword Network Analysis on Constructivism Study in Early Childhood Education through Big Data = 23. Keyword Network Analysis on Constructivism Study in Early Childhood Education through Big Data,( Eun-kyoung Kwon ),한국유아교육학회,2019
,40,Incidence of symptomatic discoid meniscus in Korea: epidemiologic big data analysis from HIRA database = Incidence of symptomatic discoid meniscus in Korea: epidemiologic big data analysis from HIRA database,( Jin Seong Kim ),대한슬관절학회,2024
,41,"ICT 기업과 에너지기업의 新 전력시장 창출 모델에 대한 연구 – AI, Big Data, Cloud computing을 중심으로 – = A Study on the New Energy Market with ICT &amp; Energy enterprises – Focusing on AI, Big Data, Cloud computing",신재우,한국IT정책경영학회,2023
,42,Application of deep learning to predict advanced neoplasia using big clinical data in colorectal cancer screening of asymptomatic adults = Application of deep learning to predict advanced neoplasia using big clinical data in colorectal cancer screening of asymptomatic adults,( Hyo-joon Yang ),대한내과학회,2021
,43,Big IoT Healthcare Data Analytics Framework Based on Fog and Cloud Computing = Big IoT Healthcare Data Analytics Framework Based on Fog and Cloud Computing,( Hamoud Alshammari ),한국정보처리학회,2020
,44,Socio-Political Implications of Data-Centric AI and the Need for Trans-Disciplinary Framework -Studying the Big Digital-Eyes for Autonomous Vehicles = Socio-Political Implications of Data-Centric AI and the Need for Trans-Disciplinary Framework -Studying the Big Digital-Eyes for Autonomous Vehicles,( Aditya Nayak ),중앙대학교 인문콘텐츠연구소,2021
,45,Customer Credit Evaluation Using Big Data of Microfinance Company in China = A Comparative Study of Data Mining Techniques,Ying Wang(왕잉),한국경영학회,2018
,46,성격유형(Big 5)이 감정노동 및 이직의도에 미치는 영향: 항공사 객실승무원을 중심으로 = The Effects of Big 5 on the Emotional Labor and Turnover Intention: Focused on the Flight Attendant,정현주,한국자료분석학회,2015
,47,Utilization and Analysis of Big-data,Soowook Lee,국제문화기술진흥원,2019
